divipola,municipio,departamento,mmi_max,mmi_media,vs30_medio,pob_total,pob_cabecera,pob_rural,def_cualitativo,def_habitacional,menciones,menciones_nacional,menciones_regional,indice,rank,desliz_max,desliz_km2,licuef_max,licuef_km2,licuef_frac
66001,PEREIRA,RISARALDA,7.900000095367432,7.242363929748535,513.77587890625,487820.0,409683.0,78137.0,17.280351638793945,21.31519317626953,219,213,6,4885254.161141672,1,0.0425,0.0,0.3721,7.030700919042997,0.0115465360391882
76001,CALI,VALLE DEL CAUCA,6.699999809265137,5.874377250671387,580.4318237304688,2269983.0,2217353.0,52630.0,12.133184432983398,14.01809859275818,22,17,5,3051128.5139762973,2,0.0088,0.0,0.3025,25.56618516015635,0.045662100456621
17001,MANIZALES,CALDAS,8.0,6.9002251625061035,666.5375366210938,475690.0,449879.0,25811.0,12.506049156188965,16.29151725769043,96,88,8,3007464.06163149,3,0.0903,0.0,0.0739,0.0,0.0
63001,ARMENIA,QUINDIO,7.599999904632568,7.289166450500488,383.9783325195313,307103.0,298815.0,8288.0,9.811139106750488,13.626115798950195,4,4,0,2781150.425268257,4,0.0093,0.0,0.3143,3.408824688020847,0.0280210157618213
66170,DOSQUEBRADAS,RISARALDA,7.900000095367432,7.258904457092285,631.1452026367188,246388.0,234946.0,11442.0,11.071704864501951,13.066439270973206,19,18,1,2197772.5973594836,5,0.0087,0.0,0.2409,0.6391546290039088,0.0091743119266055
76147,CARTAGO,VALLE DEL CAUCA,8.0,7.459273815155029,405.6048278808594,144206.0,139614.0,4592.0,10.594124794006348,12.86166501045227,10,9,1,1590552.1913902634,6,0.0174,0.0,0.3949,54.328143465332246,0.2177625960717335
76109,BUENAVENTURA,VALLE DEL CAUCA,7.699999809265137,5.902594089508057,470.0626831054687,335217.0,262320.0,72897.0,28.883188247680664,56.06313514709473,49,48,1,828693.9835543714,7,0.0133,0.0,0.4367,785.9471421318066,0.125407941256459
76520,PALMIRA,VALLE DEL CAUCA,6.699999809265137,5.931343078613281,521.0703735351562,382703.0,296852.0,85851.0,24.469266891479492,26.369184374809265,12,10,2,707642.3402018541,8,0.0075,0.0,0.294,37.71012311123062,0.0375716408405858
27001,QUIBDÓ,CHOCÓ,7.800000190734863,6.194756507873535,464.4021606445313,143332.0,122692.0,20640.0,63.23115921020508,89.70182991027832,97,90,7,619614.1802714725,9,0.1184,0.1597886572509772,0.4392,358.35269532819154,0.1020940819423368
76130,CANDELARIA,VALLE DEL CAUCA,6.699999809265137,6.398293972015381,231.9129638671875,115933.0,29309.0,86624.0,69.04724884033203,73.7800612449646,0,0,0,470011.6376402742,10,0.0,0.0,0.3347,36.431813853222806,0.1234657039711191
17174,CHINCHINÁ,CALDAS,7.599999904632568,7.172641277313232,525.7962036132812,50452.0,44899.0,5553.0,15.891033172607422,20.040358543395996,0,0,0,425720.504606046,11,0.021,0.0,0.076,0.0,0.0
66682,SANTA ROSA DE CABAL,RISARALDA,7.5,6.695082187652588,721.5147705078125,84054.0,70752.0,13302.0,18.274133682250977,22.367361068725582,4,4,0,420010.6308482908,12,0.0952,0.0,0.044,0.0,0.0
63130,CALARCÁ,QUINDIO,7.5,6.650697708129883,654.3228149414062,74399.0,57323.0,17076.0,24.357587814331055,30.4033260345459,4,4,0,380859.4350696943,13,0.0505,0.0,0.1572,0.0,0.0
76834,TULUÁ,VALLE DEL CAUCA,6.900000095367432,5.993084907531738,699.46630859375,225868.0,187083.0,38785.0,17.630916595458984,21.17579674720764,6,6,0,367509.12492923206,14,0.0181,0.0,0.3239,14.061401838085994,0.0155002348520432
63470,MONTENEGRO,QUINDIO,7.400000095367432,7.194117546081543,403.90130615234375,37483.0,30669.0,6814.0,18.503971099853516,26.539152145385746,1,1,0,342185.3576666946,15,0.0076,0.0,0.0741,0.0,0.0
73001,IBAGUÉ,TOLIMA,6.599999904632568,5.678314208984375,707.2962036132812,557317.0,516862.0,40455.0,15.269622802734377,18.415409326553345,2,2,0,334913.87235087785,16,0.0421,0.0,0.1058,0.0,0.0
