divipola,municipio,departamento,menciones,ambiguedad
50400,LEJANÍAS,META,0,unico
50683,SAN JUAN DE ARAMA,META,0,unico
50680,SAN CARLOS DE GUAROA,META,0,unico
50606,RESTREPO,META,0,nombre_repetido
50590,PUERTO RICO,META,0,palabra_riesgosa
50577,PUERTO LLERAS,META,0,unico
50573,PUERTO LÓPEZ,META,0,unico
50350,LA MACARENA,META,0,palabra_riesgosa
54003,ÁBREGO,NORTE DE SANTANDER,0,unico
50318,GUAMAL,META,0,unico
50313,GRANADA,META,0,nombre_repetido
50287,FUENTE DE ORO,META,0,unico
50270,EL DORADO,META,0,palabra_riesgosa
50251,EL CASTILLO,META,0,palabra_riesgosa
50245,EL CALVARIO,META,0,unico
50686,SAN JUANITO,META,0,unico
50689,SAN MARTÍN,META,0,nombre_repetido
50711,VISTAHERMOSA,META,0,unico
52079,BARBACOAS,NARIÑO,0,unico
52233,CUMBITARA,NARIÑO,0,unico
20710,SAN ALBERTO,CESAR,0,unico
52256,EL ROSARIO,NARIÑO,0,palabra_riesgosa
19785,SUCRE,CAUCA,0,nombre_repetido
52405,LEIVA,NARIÑO,0,unico
52418,LOS ANDES,NARIÑO,1,unico
52427,MAGÜÍ,NARIÑO,0,unico
19760,SOTARÁ PAISPAMBA,CAUCA,0,unico
52520,FRANCISCO PIZARRO,NARIÑO,0,unico
52540,POLICARPA,NARIÑO,0,unico
52621,ROBERTO PAYÁN,NARIÑO,0,unico
19701,SANTA ROSA,CAUCA,0,palabra_riesgosa
52835,SAN ANDRÉS DE TUMACO,NARIÑO,0,unico
95015,CALAMAR,GUAVIARE,0,unico
