divipola,municipio,departamento,area_km2,celdas,muestreo,mmi_max,mmi_media,mmi_min,pga_max,vs30_medio,vs30_min,frac_mmi6,frac_mmi7,frac_mmi8,frac_pager6,frac_pager7,frac_pager8,peso_dano,pob_cabecera,pob_rural,pob_total,def_cuantitativo,def_cualitativo,def_habitacional,exposicion,vulnerabilidad,indice,pob_mmi6,pob_pager6,pob_mmi7,pob_pager7,pob_mmi8,pob_pager8,rank,nombre_norm,depto_norm,ambiguedad,requiere_contexto,menciones,notas_que_lo_nombran,menciones_nacional,menciones_regional,muertos_rep,heridos_rep,desaparecidos_rep,viv_colapsadas_rep,viv_averiadas_rep,fuente_perdidas,cobertura_dato,muertos_100k
76020,ALCALÁ,VALLE DEL CAUCA,62.3569466021,65,celdas,7.699999809265137,7.363076686859131,7.099999904632568,39.16999816894531,451.7692260742187,297.6000061035156,1.0,1.0,0.0,1.0,1.0,0.3384615384615385,8.657462120056152,10752.0,3583.0,14335.0,11.32655429840088,18.656892776489254,29.983447074890137,124104.71949100494,1.2998344707489011,161315.59237703128,14335,14335,14335,14335,0,4852,27,alcala,valle del cauca,unico,False,3,1,3,0,,,,,,,1,
76111,GUADALAJARA DE BUGA,VALLE DEL CAUCA,825.877594807,822,celdas,6.800000190734863,5.851702690124512,5.400000095367432,28.450000762939453,686.2796630859375,206.0,0.3296836982968369,0.0,0.0,0.924574209245742,0.1435523114355231,0.0,0.9881503582000732,114352.0,17898.0,132250.0,4.372488021850586,16.782825469970703,21.15531349182129,130682.88487195969,1.211553134918213,158329.25884677866,43601,122275,0,18985,0,0,28,guadalajara de buga,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
17524,PALESTINA,CALDAS,112.235477053,112,celdas,7.400000095367432,7.0714287757873535,6.599999904632568,36.310001373291016,561.7098388671875,325.1000061035156,1.0,0.7589285714285714,0.0,1.0,1.0,0.0,6.255646705627441,5828.0,10138.0,15966.0,8.285334587097168,49.468318939208984,57.75365352630615,99877.65530204771,1.5775365352630617,157560.65029539072,15966,15966,12117,15966,0,0,29,palestina,caldas,nombre_repetido,True,0,0,0,0,,,,,,,1,
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,4134.97895578,4139,celdas,6.900000095367432,6.451510429382324,5.5,34.0099983215332,406.0204772949219,192.8999938964844,0.869050495288717,0.0,0.0,1.0,0.6042522348393332,0.0,2.7634449005126953,1741.0,25894.0,27635.0,91.19107055664062,8.002481460571289,99.19355201721191,76367.79982566833,1.9919355201721192,152119.73307014292,24016,27635,0,16699,0,0,30,el litoral del san juan,choco,unico,False,10,5,10,0,,,,,,,1,
27077,BAJO BAUDÓ,CHOCÓ,3479.27369684,3492,celdas,6.900000095367432,6.32408332824707,5.199999809265137,32.06999969482422,386.8679809570313,191.6000061035156,0.8634020618556701,0.0,0.0,0.97709049255441,0.4258304696449026,0.0,2.2191038131713867,7317.0,27736.0,35053.0,69.59247589111328,19.827587127685547,89.42006301879883,77786.24596309662,1.894200630187988,147342.75612325547,30265,34250,0,14927,0,0,31,bajo baudo,choco,unico,False,1,1,1,0,,,,,,,1,
76041,ANSERMANUEVO,VALLE DEL CAUCA,305.45167419,309,celdas,7.699999809265137,6.8980584144592285,6.300000190734863,41.88999938964844,636.5770874023438,196.3999938964844,1.0,0.3883495145631068,0.0,1.0,0.9158576051779936,0.1521035598705501,5.377221584320068,11006.0,6819.0,17825.0,3.5467281341552734,40.27309799194336,43.81982612609863,95848.97474050522,1.4381982612609865,137849.8288154428,17825,17825,6922,16325,0,2711,32,ansermanuevo,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
76892,YUMBO,VALLE DEL CAUCA,230.589699064,232,celdas,6.699999809265137,5.862930774688721,5.400000095367432,20.979999542236328,645.8758544921875,190.8999938964844,0.2801724137931034,0.0,0.0,0.9956896551724138,0.1206896551724138,0.0,0.9179806709289552,98767.0,16900.0,115667.0,6.2063517570495605,19.36482810974121,25.57117986679077,106180.07026433945,1.2557117986679076,133331.5670143185,32407,115168,0,13960,0,0,33,yumbo,valle del cauca,unico,False,5,3,3,2,,,,,,,1,
05360,ITAGÜÍ,ANTIOQUIA,19.6495552531,19,celdas,6.0,5.542105197906494,5.0,9.819000244140623,583.1578979492188,361.6000061035156,0.1052631578947368,0.0,0.0,0.5789473684210527,0.0,0.0,0.359131246805191,277025.0,29372.0,306397.0,1.834012985229492,16.88581085205078,18.719823837280273,110036.73662737012,1.1871982383728028,130635.41988030588,32252,177388,0,0,0,0,34,itagui,antioquia,unico,False,0,0,0,0,,,,,,,1,
66440,MARSELLA,RISARALDA,149.319137416,151,celdas,7.5,6.930463790893555,6.5,38.40999984741211,689.0489501953125,410.0,1.0,0.4569536423841059,0.0,1.0,1.0,0.0066225165562913,5.306423187255859,9332.0,7988.0,17320.0,4.0,33.42723083496094,37.42723083496094,91907.24960327148,1.3742723083496091,126305.5880663516,17320,17320,7914,17320,0,115,35,marsella,risaralda,unico,False,2,1,2,0,,,,,,,1,
76113,BUGALAGRANDE,VALLE DEL CAUCA,396.781323361,398,celdas,7.0,6.562562465667725,5.800000190734863,35.84000015258789,465.5190734863281,186.8999938964844,0.8994974874371859,0.1758793969849246,0.0,1.0,0.6834170854271356,0.0,3.3704288005828857,13894.0,11633.0,25527.0,7.448866844177246,38.08734130859375,45.53620815277099,86036.93599247932,1.45536208152771,125214.89425428104,22961,25527,4490,17446,0,0,36,bugalagrande,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
76364,JAMUNDÍ,VALLE DEL CAUCA,629.079013262,636,celdas,6.400000095367432,5.46855354309082,4.699999809265137,16.149999618530273,560.4592895507812,186.1999969482422,0.2830188679245283,0.0,0.0,0.4261006289308176,0.0,0.0,0.4921520054340362,150381.0,46494.0,196875.0,4.321964740753174,23.49498748779297,27.816952228546143,96892.42606982587,1.2781695222854614,123844.94594274876,55719,83889,0,0,0,0,37,jamundi,valle del cauca,unico,False,1,1,1,0,,,,,,,1,
27430,MEDIO BAUDÓ,CHOCÓ,1372.04406946,1378,celdas,6.900000095367432,6.631349563598633,6.099999904632568,34.27000045776367,338.6468200683594,216.1000061035156,1.0,0.0,0.0,1.0,0.8352685050798259,0.0,3.465472459793091,2307.0,15310.0,17617.0,86.29570770263672,13.290938377380373,99.58664608001708,61051.22832417488,1.9958664608001708,121850.09900287406,17617,17617,0,14715,0,0,38,medio baudo,choco,unico,False,0,0,0,0,,,,,,,1,
76497,OBANDO,VALLE DEL CAUCA,214.677027312,216,celdas,7.599999904632568,7.123148441314697,6.400000095367432,40.22999954223633,451.8805236816406,186.3999938964844,1.0,0.6805555555555556,0.0,1.0,0.9907407407407408,0.1666666666666666,6.863766193389893,9626.0,2932.0,12558.0,6.256463050842285,33.79007339477539,40.04653644561768,86195.17585659027,1.4004653644561769,120713.35837036396,12558,12558,8546,12442,0,2093,39,obando,valle del cauca,unico,False,6,5,6,0,,,,,,,1,
17614,RIOSUCIO,CALDAS,384.161536503,385,celdas,6.699999809265137,6.133766174316406,5.699999809265137,30.829999923706055,706.964111328125,367.7000122070313,0.7662337662337663,0.0,0.0,1.0,0.0831168831168831,0.0,1.473783254623413,20610.0,31508.0,52118.0,6.3517351150512695,41.91313934326172,48.26487445831299,76810.63566446304,1.48264874458313,113883.19253854832,39935,52118,0,4332,0,0,40,riosucio,caldas,nombre_repetido,True,0,0,0,0,,,,,,,1,
76736,SEVILLA,VALLE DEL CAUCA,537.174351656,534,celdas,7.099999904632568,6.204494476318359,5.599999904632568,34.900001525878906,662.1011352539062,302.8999938964844,0.7116104868913857,0.0112359550561797,0.0,1.0,0.2902621722846442,0.0,1.9136552810668943,34327.0,9845.0,44172.0,7.659379482269287,22.64179801940918,30.301177501678467,84529.98107528687,1.303011775016785,110143.56068304477,31433,44172,496,12821,0,0,41,sevilla,valle del cauca,unico,False,2,2,2,0,,,,,,,1,
76122,CAICEDONIA,VALLE DEL CAUCA,166.983686558,169,celdas,7.099999904632568,6.455621242523193,5.900000095367432,34.90999984741211,603.6964721679688,251.1999969482422,0.940828402366864,0.1183431952662721,0.0,1.0,0.4378698224852071,0.0,2.8891754150390625,25425.0,4823.0,30248.0,5.147670745849609,20.62187957763672,25.769550323486328,87391.77795410156,1.2576955032348631,109912.2461525732,28458,30248,3580,13245,0,0,42,caicedonia,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
76036,ANDALUCÍA,VALLE DEL CAUCA,110.460417918,112,celdas,6.900000095367432,6.6133928298950195,5.800000190734863,33.650001525878906,408.28662109375,217.3000030517578,0.9196428571428572,0.0,0.0,1.0,0.8214285714285714,0.0,3.5321686267852783,20021.0,5088.0,25109.0,3.212390661239624,19.632869720458984,22.84526038169861,88689.22204995155,1.228452603816986,108950.50575776584,23091,25109,0,20625,0,0,43,andalucia,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
76248,EL CERRITO,VALLE DEL CAUCA,441.888582971,446,celdas,6.699999809265137,5.934978008270264,5.300000190734863,23.760000228881836,567.5990600585938,223.3000030517578,0.4820627802690583,0.0,0.0,0.6502242152466368,0.336322869955157,0.0,1.3799927234649658,37017.0,19380.0,56397.0,2.884833335876465,36.97007369995117,39.85490703582764,77827.44962525368,1.3985490703582764,108845.50732175412,27187,36671,0,18968,0,0,44,el cerrito,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
