fecha,categoria,valor,medio,url,contexto
2026-08-13,familias,40753,Infobae,https://www.infobae.com/colombia/deportes/2026/08/13/la-liga-betplay-2026-ii-cambiaria-su-sistema-para-la-segunda-fase-por-el-terremoto-de-magnitud-74-en-colombia/," emergencia mantiene una cifra de 273 personas fallecidas y 40.753 familias afectadas, a corte del 13 del mismo mes, en medio de las labores de a"
2026-08-13,familias,40753,El Universal,https://www.eluniversal.com.co/mundo/2026/08/13/espana-anuncia-millonaria-ayuda-para-afectados-por-terremoto-en-colombia/,"onas fallecidas, 3.824 heridas y 377 desaparecidas. ademas, 40.753 familias resultaron afectadas, mientras que 12.584 viviendas quedaro"
2026-08-13,familias,44936,La FM,https://www.lafm.com.co/actualidad/terremoto-colombia-en-vivo-hoy-13-agosto-2026-ultima-hora-balance-muertos-desaparecidos-407738," devastador terremoto de magnitud 7,4 en colombia, que dejo 44.936 familias afectadas, 1.067 viviendas destruidas y mas de 65.000 averiadas, el p"
2026-08-13,familias,44936,Infobae,https://www.infobae.com/colombia/2026/08/13/indemnizacion-por-el-terremoto-quien-puede-reclamar-hasta-43-millones-y-que-documentos-necesita/,"del palmar, choco, deja un saldo parcial de 281 fallecidos, 44.936 familias afectadas y 102.105 personas afectadas. la emergencia tambien provoco"
2026-08-13,familias,44936,El Universal,https://www.eluniversal.com.co/colombia/2026/08/13/crece-cifra-de-fallecidos-en-colombia-tras-terremoto-de-74/,"s (ungrd), el balance humano de la tragedia se completa con 44.936 familias y 102.105 personas damnificadas en 426 municipios de 15 dep"
2026-08-14,familias,1415,Infobae,https://www.infobae.com/colombia/2026/08/14/que-tan-preparada-esta-bogota-para-un-gran-sismo-75-de-las-edificaciones-son-vulnerables-y-nueve-localidades-enfrentarian-riesgo-por-suelos-blandos/,das son de madera y quedaron en ruina por el terremoto: hay 1.415 familias damnificadas bogota apoyara la evaluacion de danos en choco con 30 espec
2026-08-14,familias,44000,Infobae,https://www.infobae.com/colombia/2026/08/14/abelardo-de-la-espriella-entrego-balance-tras-reunion-con-el-sector-de-la-construccion-y-reafirmo-medidas-excepcionales-para-los-damnificados/,"os afectados. “a largo plazo, presidente, es que las mas de 44.000 familias que perdieron su casa puedan volver a sentir que colombia n"
2026-08-14,familias,44936,Infobae,https://www.infobae.com/colombia/2026/08/14/que-tan-preparada-esta-bogota-para-un-gran-sismo-75-de-las-edificaciones-son-vulnerables-y-nueve-localidades-enfrentarian-riesgo-por-suelos-blandos/," del desastre: 15 departamentos y 426 municipios afectados, 44.936 familias damnificadas y 102.105 personas impactadas. ademas, se registraron 3.971"
2026-06-26,heridos,1300,Las2orillas,https://www.las2orillas.co/el-sacerdote-y-expandillero-que-hace-dos-meses-predijo-el-tragico-terremoto-del-pasado-10-de-agosto/,"ba a ser grave. hasta el momento van 250 fallecidos, mas de 1.300 heridos, miles de desaparecidos, y lugares de los que no se sabe pr"
2026-08-10,heridos,3971,La FM,https://www.lafm.com.co/actualidad/terremoto-colombia-reporte-oficial-muertos-heridos-407812,"tion del riesgo (ungrd) fue de 281 colombianos fallecidos y 3971 heridos. asimismo, aumento la cifra de viviendas destruidas, supera"
2026-08-12,heridos,174,El Universal,https://www.eluniversal.com.co/colombia/2026/08/12/terremoto-en-colombia-las-cifras-por-ciudades-tras-3-dias-de-la-tragedia/,"se a no registrar personas fallecidas. alli se contabilizan 174 heridos, 69 edificios colapsados y cerca de 1.400 estructuras averi"
2026-08-12,heridos,182,El Universal,https://www.eluniversal.com.co/colombia/2026/08/12/terremoto-en-colombia-las-cifras-por-ciudades-tras-3-dias-de-la-tragedia/,"n manizales, por su parte, se contabilizan seis fallecidos, 182 heridos y 4.000 damnificados, con afectaciones graves en viviendas "
2026-08-12,heridos,279,El Universal,https://www.eluniversal.com.co/colombia/2026/08/12/terremoto-en-colombia-las-cifras-por-ciudades-tras-3-dias-de-la-tragedia/,"man. pereira, capital de risaralda, registra 83 fallecidos, 279 heridos y 45 desaparecidos, ademas de 243 personas rescatadas. entr"
2026-08-12,heridos,1008,El Universal,https://www.eluniversal.com.co/colombia/2026/08/12/terremoto-en-colombia-las-cifras-por-ciudades-tras-3-dias-de-la-tragedia/,"las cifras de asocapitales. alli se reportan 74 fallecidos, 1.008 heridos y 230 desaparecidos. los equipos de rescate han conseguido "
2026-08-13,heridos,1958,Infobae,https://www.infobae.com/colombia/2026/08/13/mas-de-900-psicologos-se-movilizan-para-brindar-atencion-gratuita-a-victimas-del-fuerte-sismo-en-colombia/,"do, manizales y armenia, ciudades que suman 204 fallecidos, 1.958 heridos, 371 desaparecidos y 325 estructuras colapsadas. estos dato"
2026-08-13,heridos,3800,Infobae,https://www.infobae.com/colombia/2026/08/13/la-liendra-anuncio-un-documental-para-recaudar-dinero-para-los-damnificados-del-terremoto-en-colombia/,"tro en san jose del palmar, choco, dejo mas de 273 muertos, 3.800 heridos y 377 desaparecidos en seis departamentos: valle del cauca,"
2026-08-13,heridos,3824,La FM,https://www.lafm.com.co/actualidad/terremoto-colombia-en-vivo-hoy-13-agosto-2026-ultima-hora-balance-muertos-desaparecidos-407738," 7.515 personas afectadas, 273 muertos, 377 desaparecidos y 3.824 heridos. 11:44 a.&#xa0;m. habitantes piden que no los olviden la fm"
2026-08-13,heridos,3971,Infobae,https://www.infobae.com/colombia/2026/08/13/el-departamento-de-estado-de-los-ee-uu-reitero-su-apoyo-al-gobierno-de-la-espriella-para-atender-emergencia-por-el-terremoto/,"o de desastres (ungrd), el sismo deja al menos 281 muertos, 3.971 heridos y al menos 348 desaparecidos. “ la administracion trump con"
2026-08-14,heridos,380,El País (Cali),https://www.elpais.com.co/cali/terremoto-en-cali-en-vivo-autoridades-suspenden-el-pico-y-placa-debido-a-la-emergencia-1007.html,", el cual ratifico un balance preliminar de 15 fallecidos y 380 heridos en la ciudad. el alcalde alejandro eder informo que la red "
2026-08-14,heridos,1224,El País (Cali),https://www.elpais.com.co/cali/terremoto-en-cali-en-vivo-autoridades-suspenden-el-pico-y-placa-debido-a-la-emergencia-1007.html,"el balance tras el sismo asciende a 96 personas fallecidas, 1.224 heridos, 88 rescatados y 111 personas que permanecen desaparecidas."
2026-08-14,heridos,3971,Infobae,https://www.infobae.com/colombia/2026/08/14/que-tan-preparada-esta-bogota-para-un-gran-sismo-75-de-las-edificaciones-son-vulnerables-y-nueve-localidades-enfrentarian-riesgo-por-suelos-blandos/,"cadas y 102.105 personas impactadas. ademas, se registraron 3.971 heridos, 379 desaparecidos y 348 personas rescatadas. a nivel de in"
